ТБ (код);ТБ;ГОСБ (код);ГОСБ;ИНН;Название;Холдинг;Признак силовика;Численность 2026-08;Численность 2025-08;Дельта за год;Ушло ФЛ за год;Пришло ФЛ за год;Ротация: ушло, %;Ротация: пришло, %;Ушло в другой ГОСБ того же ИНН;Перетекло ФЛ в другие ИНН;Переток, % от портфеля;ИНН перетока;Название ИНН перетока;ФЛ, ушедших в этот ИНН;Тип перетока;Реальная потеря ФЛ за год;в т.ч. объяснено перетоком
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000001;Организация 7700000001;;Нет;5;100;-95;95;0;95,0;0,0;0;80;80,0;7700000002;Организация 7700000002;80;массовый переход;95;80
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000011;Организация 7700000011;;Нет;4;10;-6;6;0;60,0;0,0;0;6;60,0;7700000013;Организация 7700000013;6;ротация;6;6
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;ИНН777;ОРГ ИНН777;;Нет;7;12;-5;5;0;41,7;0,0;0;5;41,7;7700000014;Организация 7700000014;5;ротация;5;5
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000003;Организация 7700000003;Холдинг силовых ведомств;Нет;59;60;-1;5;4;8,3;6,7;0;3;5,0;7700000004;Организация 7700000004;3;ротация;1;1
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000005;Организация 7700000005;;Да;0;40;-40;40;0;100,0;0,0;0;0;0,0;;;0;;40;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000010;Организация 7700000010;;Нет;10;25;-15;15;0;60,0;0,0;15;0;0,0;;;0;;15;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000006;Организация 7700000006;Холдинг силовых ведомств;Нет;8;20;-12;12;0;60,0;0,0;0;0;0,0;;;0;;12;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000016;Организация 7700000016;;Нет;10;20;-10;10;0;50,0;0,0;0;0;0,0;;;0;;10;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;0770000123;Организация 770000123;Холдинг силовых ведомств;Нет;17;25;-8;8;0;32,0;0,0;0;0;0,0;;;0;;8;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000008;Организация 7700000008;;Нет;30;30;0;0;0;0,0;0,0;0;0;0,0;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000004;Организация 7700000004;;Нет;23;20;3;0;3;0,0;15,0;0;0;0,0;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000007;Организация 7700000007;;Нет;20;20;0;0;0;0,0;0,0;0;0;0,0;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000900;ОРГ 7700000900;;Да;20;20;0;0;0;0,0;0,0;0;0;0,0;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000009;Организация 7700000009;Холдинг силовых ведомств;Нет;10;0;10;0;10;;;0;0;;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000013;Организация 7700000013;;Нет;6;0;6;0;6;;;0;0;;;;0;;0;0
13;ЦЧБ;8593;Липецкое ГОСБ № 8593;7700000010;Организация 7700000010;;Нет;15;0;15;0;15;;;0;0;;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000012;Организация 7700000012;Холдинг силовых ведомств;Нет;6;0;6;0;6;;;0;0;;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000002;Организация 7700000002;;Нет;80;0;80;0;80;;;0;0;;;;0;;0;0
13;ЦЧБ;8592;Белгородское ГОСБ № 8592;7700000014;Организация 7700000014;;Нет;5;0;5;0;5;;;0;0;;;;0;;0;0
