ТБ;ГОСБ;Задач;Закрыто;Успешно;В работе;Сотрудников;Клиентов;Закрыто, %;Успех от закрытых, %;Медиана отработки, дн.;Просрочено, %;В день постановки, %;В днях зачистки, %;В сериях, %;Без следа, %;Формальный комментарий, %;Клон комментария, %;Успехи без результата, %;Факт к плану, %;Клиент отработан полностью, %;Клиентов одним днём;Немых дней, %;Индекс результата;Индекс дисциплины;Индекс риска;Сотрудников под триггерами
Уральский банк;Западно-Сибирское отделение №8647;207;115;37;92;8;137;55,6;32,2;11,27008101851852;16,9;1,7;25,2;20,0;29,6;33,9;34,8;21,6;75,1;41,6;5;19,0;66,55;78,662;22,562;2
Уральский банк;Челябинское ГОСБ № 8597;201;128;56;73;7;143;63,7;43,8;5,48144675925926;13,9;29,7;3,9;0,0;28,9;34,4;37,5;41,1;42,2;54,5;1;17,7;63,329;79,386;23,571;3
Поволжский банк;Саратовское ГОСБ № 8622;197;106;34;91;8;137;53,8;32,1;8,14933449074074;14,2;10,4;21,7;20,8;34,9;30,2;35,8;29,4;48,9;46,0;1;26,2;67,45;78,925;29,875;3
Сибирский банк;Алтайское ГОСБ №8644;189;131;57;58;8;106;69,3;43,5;7,3917013888888885;21,7;21,4;42,0;28,2;56,5;36,6;34,4;52,6;25,5;57,5;6;43,5;62,788;70,925;47,738;6
Сибирский банк;Кызылское ГОСБ №8591;188;113;41;75;8;114;60,1;36,3;8,57494212962963;17,0;1,8;23,0;15,0;30,1;41,6;31,0;31,7;82,8;41,2;2;35,7;71,2;72,925;27,575;3
Дальневосточный банк;ГО по Хабаровскому краю;188;119;40;69;8;104;63,3;33,6;9,411342592592593;20,2;11,8;37,8;28,6;47,9;37,8;41,2;27,5;59,3;48,1;1;32,7;70,25;74,712;33,875;4
Байкальский банк;Аппарат ББ;185;119;45;66;8;132;64,3;37,8;6,387175925925926;16,2;27,7;22,7;17,6;37,0;44,5;28,6;31,1;61,7;56,1;3;39,3;67,25;69,75;30,35;5
Волго-Вятский банк;Мордовское ГОСБ № 8589;185;130;37;55;8;111;70,3;28,5;7,362297453703704;11,9;22,3;19,2;22,3;48,5;52,3;36,2;37,8;28,0;56,8;2;36,3;58,138;71,512;47,25;6
Уральский банк;Свердловское ГОСБ № 7003;183;88;38;95;8;122;48,1;43,2;8,03154513888889;16,4;0,0;12,5;0,0;13,6;18,2;11,4;55,3;17,8;34,4;1;23,2;58,288;79,475;20,412;3
Уральский банк;Салехардское ГОСБ № 1790;183;110;57;73;8;116;60,1;51,8;6,332152777777777;16,9;30,0;7,3;0,0;40,9;33,6;34,5;36,8;54,1;45,7;2;23,8;67,838;76,862;21,275;4
Дальневосточный банк;Приморское ГОСБ № 8635;182;117;46;65;8;128;64,3;39,3;7,614270833333333;15,4;16,2;30,8;23,9;53,0;32,5;20,5;47,8;38,7;51,6;2;41,1;70,588;72,25;40,362;5
Поволжский банк;Ульяновское ГОСБ № 8588;181;105;48;76;8;85;58,0;45,7;8,392013888888888;16,0;4,8;23,8;23,8;36,2;26,7;33,3;47,9;59,9;34,1;2;27,4;58,512;77,888;35,588;5
Уральский банк;Курганское ГОСБ № 8599;179;105;42;74;8;105;58,7;40,0;6,626597222222222;14,0;23,8;23,8;15,2;35,2;40,0;35,2;35,7;67,9;41,0;3;33,3;64,738;74,825;31,012;4
Сибирский банк;Новокузнецкое отделение;178;103;38;75;6;118;57,9;36,9;7,625162037037037;11,8;4,9;21,4;20,4;26,2;33,0;34,0;31,6;22,7;44,9;5;14,3;55,167;83,417;24,283;1
Среднерусский банк;Ярославское ГОСБ № 17;174;100;33;74;8;119;57,5;33,0;7,691574074074074;17,8;3,0;33,0;20,0;35,0;31,0;18,0;12,1;68,5;47,1;2;33,9;69,638;76,35;22,925;2
Среднерусский банк;Северное ГО;174;91;46;83;8;112;52,3;50,5;9,639097222222222;23,0;9,9;9,9;8,8;35,2;31,9;9,9;52,2;23,5;38,4;1;34,5;60,962;71,875;31,062;5
Юго-Западный банк;Кабардино-Балкарское ГОСБ № 8631;172;112;29;60;8;109;65,1;25,9;3,3445081018518517;13,4;34,8;29,5;0,0;49,1;50,0;42,9;34,5;48,7;54,1;2;44,0;66,925;69,262;34,538;5
Сибирский банк;ГО по Красноярскому краю;171;90;24;81;7;115;52,6;26,7;9,699924768518517;14,6;1,1;11,1;0,0;15,6;25,6;14,4;16,7;82,6;40,0;1;30,6;56,714;77,343;13,171;2
Северо-Западный банк;Псковское ГОСБ № 8630;169;94;34;75;7;125;55,6;36,2;9,456730324074073;23,1;0,0;0,0;0,0;5,3;20,2;9,6;14,7;75,9;46,4;0;22,4;74,343;79,371;9,314;1
Волго-Вятский банк;ГОСБ Банк Татарстан № 8610;167;104;32;63;8;113;62,3;30,8;8,381313657407407;16,2;4,8;35,6;25,0;41,3;41,3;21,2;31,2;49,9;50,4;6;36,3;63,875;75,025;29,012;3
Среднерусский банк;Западное ГО;165;88;38;77;7;104;53,3;43,2;9,415138888888889;17,6;1,1;6,8;0,0;22,7;44,3;42,0;26,3;15,8;41,3;1;23,8;69,686;74,586;21,486;4
Центрально-Черноземный банк;Аппарат ЦЧБ;165;81;28;84;7;95;49,1;34,6;9,377152777777777;13,9;1,2;21,0;19,8;24,7;22,2;18,5;35,7;72,3;35,8;1;29,9;69,614;78,257;19,029;2
Московский банк;Аппарат МБ;160;93;30;67;7;116;58,1;32,3;8,631666666666666;20,0;19,4;21,5;14,0;47,3;45,2;54,8;26,7;59,6;53,4;4;36,1;58,229;68,614;35,886;5
Среднерусский банк;Костромское ГОСБ № 8640;158;87;28;71;6;108;55,1;32,2;7,670729166666667;15,8;0,0;12,6;0,0;25,3;32,2;24,1;25,0;75,7;48,1;0;29,4;65,983;77,1;21,433;2
Сибирский банк;Кемеровское ГОСБ № 8615;158;113;42;45;6;101;71,5;37,2;8,381574074074074;13,3;14,2;51,3;39,8;46,0;52,2;41,6;31,0;30,6;57,4;5;37,3;73,55;71,233;46,583;3
Среднерусский банк;Тульское ГОСБ № 8604;157;95;39;62;6;109;60,5;41,1;5,754363425925926;15,3;24,2;11,6;0,0;30,5;26,3;22,1;30,8;50,7;51,4;1;20,6;69,8;79,15;23,983;3
Юго-Западный банк;Ингушское ГОСБ № 8633;157;89;32;68;6;112;56,7;36,0;6,467025462962963;16,6;27,0;31,5;21,3;50,6;39,3;37,1;50,0;49,4;47,3;2;30,2;68,5;75,3;38,217;4
Сибирский банк;Аппарат СибБ;155;82;27;73;8;94;52,9;32,9;6,169913194444445;12,9;31,7;0,0;0,0;20,7;31,7;29,3;22,2;65,9;40,4;1;35,1;66,45;76,575;11,388;3
Центрально-Черноземный банк;ГО по Луганской Народной Республике;155;89;27;66;7;97;57,4;30,3;3,6438194444444445;16,8;37,1;13,5;6,7;34,8;40,4;27,0;37,0;52,7;42,3;0;36,1;60,243;73,686;27,6;3
Дальневосточный банк;Биробиджанское ГОСБ № 4157;154;111;32;43;5;97;72,1;28,8;7,503611111111111;11,0;12,6;52,3;42,3;55,9;49,5;45,9;46,9;29,8;59,8;6;37,1;67,2;72,92;54,76;3
Сибирский банк;Новосибирское ГОСБ № 8047;150;92;41;58;6;105;61,3;44,6;7,751163194444445;18,7;22,8;5,4;0,0;28,3;41,3;27,2;43,9;25,5;48,6;0;31,7;67,133;72,233;23,65;4
Сибирский банк;Омское ГОСБ № 8634;149;98;27;51;7;93;65,8;27,6;12,013761574074074;20,1;4,1;52,0;39,8;46,9;49,0;32,7;18,5;45,0;53,8;8;45,6;59,443;67,371;29,186;3
Среднерусский банк;Аппарат СРБ;148;103;39;45;7;115;69,6;37,9;7,299814814814815;12,2;19,4;22,3;20,4;31,1;50,5;23,3;51,3;52,1;65,2;1;27,9;70,157;74,171;40,686;5
Северо-Западный банк;ГО по г. Санкт-Петербургу;147;100;47;47;7;105;68,0;47,0;9,565324074074073;19,7;3,0;30,0;28,0;34,0;41,0;50,0;53,2;29,5;61,0;2;28,6;69,143;74,871;28,871;3
Поволжский банк;Волгоградское ГОСБ № 8621;147;86;31;61;6;90;58,5;36,0;8,460625;16,3;2,3;12,8;10,5;25,6;36,0;39,5;19,4;74,5;40,0;1;26,2;72,383;75,417;26,783;2
Сибирский банк;Абаканское ГОСБ № 8602;142;97;33;45;7;80;68,3;34,0;10,380462962962962;18,3;13,4;59,8;56,7;56,7;51,5;42,3;54,5;19,1;53,8;4;49,7;61,586;67,8;56,471;4
Волго-Вятский банк;Удмуртское ГОСБ № 8618;139;84;32;55;6;109;60,4;38,1;3,461921296296296;14,4;34,5;28,6;17,9;42,9;51,2;28,6;34,4;46,0;55,0;1;35,7;69,767;73,167;31,317;3
Среднерусский банк;Южное ГО;139;68;30;71;5;105;48,9;44,1;8,073258101851852;17,3;0,0;0,0;0,0;4,4;20,6;17,6;3,3;80,3;39,0;1;14,3;76,48;83,28;5,96;0
Центрально-Черноземный банк;Белгородское ГОСБ № 8592;138;70;22;68;5;98;50,7;31,4;8,470376157407408;21,0;0,0;7,1;0,0;14,3;25,7;30,0;27,3;99,7;41,8;1;22,9;66,22;75,42;22,38;2
Юго-Западный банк;Северо-Осетинское ГОСБ № 8632;137;70;28;67;6;89;51,1;40,0;8,460104166666667;17,5;0,0;25,7;25,7;40,0;51,4;38,6;50,0;30,6;33,7;2;23,0;62,433;74,817;25,3;3
Сибирский банк;Норильское отделение;135;88;26;47;5;92;65,2;29,5;10,336909722222222;17,8;4,5;35,2;31,8;33,0;39,8;27,3;15,4;42,7;54,3;2;29,5;69,42;73,28;35,58;2
Северо-Западный банк;Архангельское ГОСБ № 8637;135;61;23;74;6;103;45,2;37,7;8,314375;17,0;0,0;0,0;0,0;6,6;16,4;16,4;21,7;64,5;39,8;0;21,4;70,167;81,783;10,5;0
Центрально-Черноземный банк;ГО по Воронежской области;135;77;25;58;6;90;57,0;32,5;7,46099537037037;11,9;14,3;10,4;10,4;35,1;31,2;23,4;28,0;51,4;45,6;0;28,6;72,933;79,1;23,0;2
Волго-Вятский банк;ГО по Нижегородской области;133;74;27;59;8;98;55,6;36,5;6,675075231481481;13,5;24,3;18,9;0,0;36,5;32,4;16,2;37,0;67,7;50,0;2;40,5;68,438;74,5;18,012;4
Сибирский банк;Томское ГОСБ № 8616;131;66;32;65;7;104;50,4;48,5;4,290862268518518;20,6;30,3;0,0;0,0;40,9;39,4;24,2;50,0;36,1;42,3;0;36,7;65,657;71,086;22,929;5
