ТБ;Задач;Закрыто;Успешно;В работе;Сотрудников;Клиентов;Закрыто, %;Успех от закрытых, %;Медиана отработки, дн.;Просрочено, %;В день постановки, %;В днях зачистки, %;В сериях, %;Без следа, %;Формальный комментарий, %;Клон комментария, %;Успехи без результата, %;Факт к плану, %;Клиент отработан полностью, %;Клиентов одним днём;Немых дней, %;Индекс результата;Индекс дисциплины;Индекс риска;Сотрудников под триггерами
Сибирский банк;1866;1141;409;725;81;1206;61,1;35,8;8,375;16,7;13,3;28,2;21,2;37,1;41,2;31,5;35,9;37,2;47,8;34;35,6;65,232;73,223;29,838;39
Среднерусский банк;1765;1014;372;751;78;1285;57,5;36,7;7,498119212962964;17,2;16,2;18,1;9,6;32,7;35,4;27,6;32,8;49,1;50,0;12;31,7;66,645;75,001;25,119;37
Юго-Западный банк;1611;993;373;618;70;1152;61,6;37,6;7,372789351851852;15,3;21,0;19,4;13,6;37,7;40,0;32,9;38,6;47,2;52,6;22;29,6;70,889;75,576;29,123;33
Уральский банк;1343;787;314;556;57;944;58,6;39,9;7,594942129629629;15,3;14,0;16,0;11,1;29,7;32,0;30,4;38,9;52,3;48,3;19;24,2;65,982;78,009;24,321;22
Северо-Западный банк;1292;734;279;558;56;954;56,8;38,0;8,378171296296298;17,0;9,0;11,3;9,1;24,5;33,2;31,3;35,1;53,6;48,6;11;25,0;70,007;77,736;21,054;20
Волго-Вятский банк;1116;684;223;432;53;823;61,3;32,6;7,4251504629629625;15,1;16,7;21,3;16,7;39,6;40,5;26,2;32,3;53,5;53,2;17;33,2;64,983;74,689;26,792;25
Дальневосточный банк;1042;625;208;417;45;763;60,0;33,3;7,568622685185185;17,5;10,9;28,3;21,3;41,8;34,6;26,7;38,0;53,9;49,8;9;36,0;64,944;73,609;32,042;24
Поволжский банк;1008;564;228;444;45;686;56,0;40,4;8,514890046296296;15,9;8,5;20,4;17,2;33,9;32,6;29,1;41,2;57,0;45,2;10;26,6;66,144;77,607;26,787;19
Центрально-Черноземный банк;974;524;182;450;42;664;53,8;34,7;7,511394675925926;14,5;13,5;9,0;5,7;30,0;28,6;26,1;35,7;54,1;44,1;4;26,4;65,976;78,171;20,631;17
Байкальский банк;693;443;152;250;32;504;63,9;34,3;7,398715277777778;14,3;15,8;21,9;17,2;33,4;37,5;31,8;25,7;52,3;55,4;14;31,0;69,309;75,441;24,325;14
Московский банк;160;93;30;67;7;116;58,1;32,3;8,631666666666666;20,0;19,4;21,5;14,0;47,3;45,2;54,8;26,7;59,6;53,4;4;36,1;58,229;68,614;35,886;5
